iter	Passed	Remaining
0	5	513
1	7	390
2	9	316
3	11	268
4	13	248
5	15	250
6	19	262
7	21	249
8	23	240
9	25	230
10	27	222
11	29	219
12	36	242
13	38	234
14	40	226
15	42	221
16	44	215
17	49	223
18	52	223
19	54	218
20	59	223
21	65	230
22	67	227
23	69	221
24	73	219
25	74	213
26	89	242
27	91	235
28	95	233
29	97	227
30	99	221
31	101	215
32	103	209
33	105	203
34	106	198
35	109	194
36	111	190
37	113	185
38	115	180
39	117	175
40	119	171
41	119	165
42	141	187
43	143	182
44	145	177
45	147	173
46	149	168
47	151	163
48	153	159
49	154	154
50	156	150
51	158	146
52	160	142
53	162	138
54	163	133
55	165	129
56	167	126
57	169	122
58	183	127
59	185	123
60	187	119
61	189	116
62	191	112
63	193	108
64	195	105
65	199	102
66	201	99
67	205	96
68	207	93
69	208	89
70	210	85
71	211	82
72	214	79
73	215	75
74	217	72
75	219	69
76	221	66
77	222	62
78	228	60
79	232	58
80	235	55
81	237	52
82	239	48
83	240	45
84	243	42
85	245	39
86	249	37
87	251	34
88	253	31
89	255	28
90	257	25
91	259	22
92	261	19
93	263	16
94	265	13
95	267	11
96	268	8
97	269	5
98	271	2
99	272	0
